time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-08-29 09:52:13.5-04,36.2212,-97.5554,3,usc000s7z6,2015-01-30 14:50:57.371-05,"25km WSW of Perry, Oklahoma",earthquake,0101000020AD100000B30C71AC8B6358C007F01648501C4240,Oklahoma
2014-08-29 03:01:27.06-04,36.254,-97.4547,3.1,usc000s7we,2014-10-09 17:06:12-04,"15km WSW of Perry, Oklahoma",earthquake,0101000020AD100000705F07CE195D58C08D976E1283204240,Oklahoma
2014-08-27 15:44:24.8-04,36.0942,-97.2286,3.2,usc000s7ei,2015-01-29 22:58:13.983-05,"15km W of Stillwater, Oklahoma",earthquake,0101000020AD10000066F7E461A14E58C040A4DFBE0E0C4240,Oklahoma
2014-08-27 10:36:00.06-04,35.94,-96.8084,3,usc000s7e8,2014-10-02 04:51:15-04,"6km SW of Cushing, Oklahoma",earthquake,0101000020AD10000088855AD3BC3358C0B81E85EB51F84140,Oklahoma
2014-08-26 16:05:10-04,35.8168,-97.4346,3.1,usb000s6bc,2015-01-29 15:02:51.889-05,"6km S of Guthrie, Oklahoma",earthquake,0101000020AD100000DDB5847CD05B58C0B8AF03E78CE84140,Oklahoma
2014-08-25 21:41:07.3-04,36.1175,-97.3161,3.3,usb000s63j,2015-01-29 21:53:40.66-05,"19km S of Perry, Oklahoma",earthquake,0101000020AD10000000917EFB3A5458C0D7A3703D0A0F4240,Oklahoma
2014-08-23 11:22:12.8-04,36.7201,-97.9197,3.3,usb000s5ne,2015-01-30 05:10:50.702-05,"19km WSW of Medford, Oklahoma",earthquake,0101000020AD1000006688635DDC7A58C0C0EC9E3C2C5C4240,Oklahoma
2014-08-23 11:06:34-04,35.8135,-97.4358,3,usb000s5n7,2015-01-29 22:45:06.349-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000032E6AE25E45B58C0E3A59BC420E84140,Oklahoma
2014-08-22 19:23:10.6-04,36.8594,-98.2553,3.1,usb000s5g7,2015-01-30 06:35:42.602-05,"14km NE of Cherokee, Oklahoma",earthquake,0101000020AD100000CEAACFD5569058C05917B7D1006E4240,Oklahoma
2014-08-20 12:38:06.2-04,35.8829,-97.2688,3,usb000s4ke,2014-09-25 08:41:25-04,"7km S of Langston, Oklahoma",earthquake,0101000020AD1000008C4AEA04345158C0B7D100DE02F14140,Oklahoma
2014-08-20 12:27:40.2-04,36.8571,-97.8673,3,usb000s4kv,2014-09-25 08:29:14-04,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD10000088F4DBD7817758C068B3EA73B56D4240,Oklahoma
2014-08-20 11:31:59.3-04,35.886,-97.2634,3.3,usb000s4jb,2015-01-29 21:52:52.105-05,"6km S of Langston, Oklahoma",earthquake,0101000020AD1000000D71AC8BDB5058C0C420B07268F14140,Oklahoma
2014-08-20 11:01:39.4-04,35.8832,-97.2625,3.1,usb000s4iv,2015-01-31 00:18:21.219-05,"6km S of Langston, Oklahoma",earthquake,0101000020AD100000CDCCCCCCCC5058C0E2E995B20CF14140,Oklahoma
2014-08-19 12:41:35.7-04,35.7727,-97.4677,4.4,usb000s45z,2015-01-28 02:19:07.981-05,"12km SSW of Guthrie, Oklahoma",earthquake,0101000020AD100000B515FBCBEE5D58C042CF66D5E7E24140,Oklahoma
2014-08-18 19:14:24.3-04,36.6317,-98.188,3.4,usb000s3u8,2014-11-14 23:07:15-05,"12km NE of Helena, Oklahoma",earthquake,0101000020AD10000078E92631088C58C00D71AC8BDB504240,Oklahoma
2014-08-18 02:50:09.2-04,35.372,-96.487,3.5,usb000s3nq,2015-01-29 23:29:52.732-05,"13km S of Boley, Oklahoma",earthquake,0101000020AD100000BB490C022B1F58C0560E2DB29DAF4140,Oklahoma
2014-08-18 01:25:57.4-04,36.8395,-98.2541,3.7,usb000s3ni,2015-01-29 13:10:29.263-05,"13km NE of Cherokee, Oklahoma",earthquake,0101000020AD100000787AA52C439058C0FA7E6ABC746B4240,Oklahoma
2014-08-17 16:35:07.7-04,36.8527,-97.8712,3.1,usb000s3kl,2015-01-30 20:45:14.915-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD1000009D11A5BDC17758C04CA60A46256D4240,Oklahoma
2014-08-17 15:59:05.6-04,36.8584,-97.8714,3.1,usb000s3k8,2015-01-30 19:33:18.074-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD100000006F8104C57758C076711B0DE06D4240,Oklahoma
2014-08-17 06:31:10.3-04,36.8516,-97.8693,3.2,usb000s3it,2014-11-14 23:07:12-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD1000006B9A779CA27758C005A3923A016D4240,Oklahoma
